================ Training Loss (Sun May  4 17:31:20 2025) ================
================ Training Loss (Sun May  4 17:33:02 2025) ================
================ Training Loss (Sun May  4 17:33:35 2025) ================
================ Training Loss (Sun May  4 17:34:23 2025) ================
================ Training Loss (Sun May  4 17:34:55 2025) ================
================ Training Loss (Sun May  4 17:35:17 2025) ================
================ Training Loss (Sun May  4 17:36:29 2025) ================
================ Training Loss (Sun May  4 17:36:51 2025) ================
(epoch: 78, iters: 448, time: 0.144, data: 0.836) D_A: 0.233 G_A: 0.319 cycle_A: 0.994 idt_A: 0.773 D_B: 0.180 G_B: 0.591 cycle_B: 1.889 idt_B: 0.417 
(epoch: 81, iters: 320, time: 0.145, data: 0.011) D_A: 0.285 G_A: 0.403 cycle_A: 1.159 idt_A: 0.778 D_B: 0.308 G_B: 0.662 cycle_B: 1.726 idt_B: 0.497 
(epoch: 84, iters: 192, time: 0.142, data: 0.011) D_A: 0.250 G_A: 0.386 cycle_A: 0.936 idt_A: 0.740 D_B: 0.149 G_B: 0.629 cycle_B: 1.634 idt_B: 0.428 
(epoch: 87, iters: 64, time: 0.162, data: 0.011) D_A: 0.222 G_A: 0.335 cycle_A: 1.229 idt_A: 0.747 D_B: 0.200 G_B: 0.344 cycle_B: 1.624 idt_B: 0.548 
(epoch: 89, iters: 512, time: 0.140, data: 0.013) D_A: 0.269 G_A: 0.404 cycle_A: 0.935 idt_A: 0.752 D_B: 0.163 G_B: 0.421 cycle_B: 1.693 idt_B: 0.413 
(epoch: 92, iters: 384, time: 0.145, data: 0.012) D_A: 0.208 G_A: 0.360 cycle_A: 0.863 idt_A: 0.758 D_B: 0.146 G_B: 0.442 cycle_B: 1.628 idt_B: 0.388 
(epoch: 95, iters: 256, time: 0.146, data: 0.011) D_A: 0.225 G_A: 0.372 cycle_A: 0.908 idt_A: 0.714 D_B: 0.309 G_B: 0.269 cycle_B: 1.735 idt_B: 0.446 
(epoch: 98, iters: 128, time: 0.145, data: 0.013) D_A: 0.207 G_A: 0.366 cycle_A: 0.782 idt_A: 0.704 D_B: 0.243 G_B: 0.435 cycle_B: 1.486 idt_B: 0.362 
(epoch: 100, iters: 576, time: 0.131, data: 0.011) D_A: 0.214 G_A: 0.363 cycle_A: 0.970 idt_A: 0.722 D_B: 0.182 G_B: 0.577 cycle_B: 1.630 idt_B: 0.426 
(epoch: 103, iters: 448, time: 0.143, data: 0.870) D_A: 0.211 G_A: 0.518 cycle_A: 1.058 idt_A: 0.809 D_B: 0.158 G_B: 0.719 cycle_B: 1.748 idt_B: 0.429 
(epoch: 106, iters: 320, time: 0.143, data: 0.011) D_A: 0.207 G_A: 0.435 cycle_A: 1.004 idt_A: 0.762 D_B: 0.158 G_B: 0.578 cycle_B: 1.733 idt_B: 0.417 
